#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.32e+01    1.53e+01      2.59e-01    7.48e-02      5.88e-01    6.84e-01    1.0e-03
    100      6.47e+00    9.45e+00      3.00e-01    2.13e-01      2.86e-01    4.21e-01    1.0e-03
    200      5.63e+00    5.11e+00      1.21e-01    4.46e-02      2.51e-01    2.29e-01    1.0e-03
    300      4.22e+00    7.55e+00      1.76e-01    4.31e-02      1.87e-01    3.38e-01    1.0e-03
    400      4.57e+00    4.33e+00      7.87e-02    9.79e-02      2.04e-01    1.93e-01    1.0e-03
    500      5.99e+00    5.64e+00      1.40e-01    1.95e-01      2.66e-01    2.50e-01    1.0e-03
    600      4.54e+00    4.12e+00      4.84e-02    2.22e-02      2.03e-01    1.84e-01    1.0e-03
    700      4.49e+00    5.15e+00      6.06e-02    1.88e-01      2.00e-01    2.30e-01    1.0e-03
    800      5.57e+00    4.21e+00      4.49e-02    7.38e-02      2.49e-01    1.88e-01    1.0e-03
    900      3.35e+00    2.98e+00      6.38e-02    1.48e-01      1.49e-01    1.31e-01    1.0e-03
   1000      3.46e+00    3.60e+00      5.19e-02    1.04e-01      1.54e-01    1.60e-01    1.0e-03
   1100      5.78e+00    5.43e+00      9.30e-02    3.04e-02      2.58e-01    2.43e-01    1.0e-03
   1200      4.96e+00    3.69e+00      9.19e-02    1.72e-01      2.21e-01    1.64e-01    1.0e-03
   1300      4.20e+00    3.07e+00      5.11e-02    2.10e-02      1.88e-01    1.37e-01    1.0e-03
   1400      4.57e+00    4.25e+00      1.02e-01    4.67e-02      2.04e-01    1.90e-01    1.0e-03
   1500      4.38e+00    6.83e+00      1.39e-01    1.67e-01      1.94e-01    3.04e-01    1.0e-03
   1600      3.59e+00    3.62e+00      5.20e-02    1.52e-01      1.60e-01    1.60e-01    1.0e-03
   1700      5.05e+00    4.70e+00      6.36e-02    1.36e-01      2.25e-01    2.09e-01    1.0e-03
   1800      3.96e+00    4.24e+00      5.71e-02    2.91e-01      1.77e-01    1.87e-01    1.0e-03
   1900      4.44e+00    2.89e+00      8.14e-02    6.34e-02      1.98e-01    1.29e-01    1.0e-03
   2000      3.03e+00    3.00e+00      6.97e-02    1.52e-02      1.35e-01    1.34e-01    1.0e-03
   2100      2.96e+00    3.47e+00      5.91e-02    2.53e-01      1.32e-01    1.53e-01    1.0e-03
   2200      3.35e+00    5.79e+00      3.34e-02    6.06e-02      1.50e-01    2.59e-01    1.0e-03
   2300      4.00e+00    3.42e+00      6.38e-02    9.99e-02      1.79e-01    1.52e-01    1.0e-03
   2400      2.82e+00    3.14e+00      1.73e-01    2.20e-01      1.24e-01    1.36e-01    1.0e-03
   2500      3.85e+00    3.57e+00      3.59e-02    3.04e-02      1.72e-01    1.59e-01    1.0e-03
   2600      3.80e+00    3.60e+00      6.50e-02    1.66e-01      1.70e-01    1.59e-01    1.0e-03
   2700      3.79e+00    3.10e+00      4.81e-02    3.41e-02      1.69e-01    1.38e-01    1.0e-03
   2800      4.33e+00    3.75e+00      1.02e-01    3.08e-01      1.93e-01    1.64e-01    1.0e-03
   2900      3.82e+00    3.55e+00      2.09e-01    1.68e-01      1.68e-01    1.56e-01    1.0e-03
   3000      3.30e+00    2.68e+00      2.39e-01    8.42e-02      1.44e-01    1.19e-01    1.0e-03
   3100      3.38e+00    3.71e+00      1.13e-01    4.40e-02      1.50e-01    1.66e-01    1.0e-03
