#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.32e+01    1.23e+01      2.50e-01    2.80e-01      1.04e+00    5.49e-01    1.0e-03
    100      6.31e+00    7.66e+00      1.89e-01    2.29e-01      2.81e-01    3.42e-01    1.0e-03
    200      5.31e+00    4.77e+00      7.34e-02    4.04e-02      2.37e-01    2.13e-01    1.0e-03
    300      5.08e+00    7.22e+00      2.84e-01    4.73e-01      2.23e-01    3.19e-01    1.0e-03
    400      5.26e+00    4.97e+00      2.73e-01    1.62e-01      2.32e-01    2.21e-01    1.0e-03
    500      3.64e+00    3.16e+00      6.36e-02    1.25e-01      1.63e-01    1.40e-01    1.0e-03
    600      4.67e+00    3.81e+00      7.63e-02    6.81e-02      2.08e-01    1.70e-01    1.0e-03
    700      3.63e+00    3.88e+00      1.61e-01    6.00e-02      1.61e-01    1.73e-01    1.0e-03
    800      3.79e+00    3.87e+00      5.00e-02    3.40e-02      1.69e-01    1.73e-01    1.0e-03
    900      3.54e+00    4.10e+00      9.29e-02    1.68e-01      1.57e-01    1.81e-01    1.0e-03
   1000      3.87e+00    4.43e+00      5.66e-02    1.87e-01      1.73e-01    1.97e-01    1.0e-03
   1100      3.55e+00    2.92e+00      1.54e-01    3.12e-01      1.57e-01    1.26e-01    1.0e-03
   1200      4.14e+00    3.30e+00      1.10e-01    6.55e-02      1.84e-01    1.47e-01    1.0e-03
   1300      4.17e+00    3.50e+00      1.60e-01    1.62e-01      1.85e-01    1.54e-01    1.0e-03
   1400      3.23e+00    4.99e+00      1.20e-01    9.80e-03      1.43e-01    2.23e-01    1.0e-03
   1500      4.57e+00    2.87e+00      4.29e-02    3.79e-02      2.04e-01    1.28e-01    1.0e-03
   1600      2.95e+00    4.18e+00      9.04e-02    6.83e-02      1.31e-01    1.86e-01    1.0e-03
   1700      3.68e+00    3.81e+00      1.08e-01    2.19e-01      1.63e-01    1.69e-01    1.0e-03
   1800      3.14e+00    4.39e+00      5.33e-02    7.79e-02      1.40e-01    1.96e-01    1.0e-03
   1900      4.22e+00    3.71e+00      5.80e-02    1.09e-02      1.88e-01    1.66e-01    1.0e-03
   2000      3.58e+00    3.12e+00      7.20e-02    6.85e-03      1.60e-01    1.39e-01    1.0e-03
   2100      4.89e+00    4.71e+00      1.98e-02    9.83e-02      2.19e-01    2.10e-01    1.0e-03
   2200      2.83e+00    4.06e+00      7.53e-02    8.88e-02      1.26e-01    1.81e-01    1.0e-03
   2300      3.96e+00    3.37e+00      7.62e-02    7.80e-03      1.76e-01    1.51e-01    1.0e-03
   2400      3.65e+00    4.09e+00      1.99e-01    2.71e-02      1.62e-01    1.83e-01    1.0e-03
   2500      2.80e+00    2.87e+00      4.73e-02    1.38e-01      1.25e-01    1.26e-01    1.0e-03
   2600      3.00e+00    2.70e+00      8.85e-02    1.28e-01      1.33e-01    1.18e-01    1.0e-03
   2700      4.12e+00    2.65e+00      6.53e-02    3.61e-02      1.84e-01    1.19e-01    1.0e-03
   2800      2.52e+00    3.06e+00      1.03e-01    1.55e-01      1.11e-01    1.35e-01    1.0e-03
   2900      3.03e+00    5.26e+00      1.20e-01    1.87e-01      1.34e-01    2.34e-01    1.0e-03
   3000      3.33e+00    2.94e+00      3.79e-02    3.94e-02      1.48e-01    1.31e-01    1.0e-03
   3100      3.33e+00    3.18e+00      1.11e-01    5.06e-02      1.47e-01    1.42e-01    1.0e-03
   3200      3.32e+00    2.86e+00      7.83e-02    4.21e-02      1.48e-01    1.28e-01    1.0e-03
   3300      2.67e+00    2.49e+00      8.65e-02    5.84e-02      1.19e-01    1.11e-01    1.0e-03
   3400      3.38e+00    4.14e+00      6.10e-02    3.47e-02      1.51e-01    1.85e-01    1.0e-03
   3500      3.06e+00    2.70e+00      7.19e-02    5.38e-03      1.36e-01    1.21e-01    1.0e-03
   3600      2.65e+00    2.76e+00      8.70e-02    2.59e-01      1.18e-01    1.20e-01    1.0e-03
   3700      2.96e+00    2.69e+00      6.88e-02    1.13e-01      1.32e-01    1.18e-01    1.0e-03
   3800      3.47e+00    3.25e+00      3.19e-02    2.22e-02      1.55e-01    1.46e-01    1.0e-03
   3900      2.63e+00    2.80e+00      7.25e-02    1.48e-01      1.17e-01    1.23e-01    1.0e-03
   4000      2.95e+00    2.37e+00      1.07e-01    3.79e-02      1.31e-01    1.06e-01    1.0e-03
   4100      2.67e+00    2.32e+00      1.30e-01    9.85e-02      1.17e-01    1.02e-01    1.0e-03
   4200      3.37e+00    3.56e+00      1.44e-01    3.03e-01      1.49e-01    1.56e-01    1.0e-03
   4300      2.65e+00    2.59e+00      1.33e-01    1.80e-02      1.16e-01    1.16e-01    1.0e-03
   4400      2.68e+00    2.63e+00      2.46e-02    2.66e-01      1.20e-01    1.14e-01    1.0e-03
   4500      3.53e+00    4.00e+00      1.65e-01    2.15e-01      1.56e-01    1.76e-01    1.0e-03
   4600      2.83e+00    2.12e+00      2.08e-01    7.29e-02      1.20e-01    9.40e-02    1.0e-03
   4700      2.55e+00    2.66e+00      5.37e-02    3.08e-01      1.14e-01    1.14e-01    1.0e-03
   4800      3.47e+00    2.52e+00      6.56e-02    3.10e-03      1.54e-01    1.13e-01    1.0e-03
   4900      3.51e+00    3.54e+00      9.63e-02    4.06e-02      1.56e-01    1.58e-01    1.0e-03
   5000      3.09e+00    2.69e+00      8.22e-02    3.85e-02      1.38e-01    1.20e-01    1.0e-03
   5100      2.36e+00    2.36e+00      5.19e-02    2.03e-02      1.05e-01    1.05e-01    1.0e-03
   5200      3.06e+00    2.43e+00      5.95e-02    5.60e-02      1.36e-01    1.08e-01    1.0e-03
   5300      2.94e+00    3.18e+00      1.09e-01    1.81e-01      1.30e-01    1.39e-01    1.0e-03
   5400      3.01e+00    3.26e+00      8.64e-02    1.32e-01      1.34e-01    1.45e-01    1.0e-03
   5500      3.39e+00    3.73e+00      1.48e-01    8.01e-02      1.50e-01    1.66e-01    1.0e-03
   5600      2.93e+00    2.49e+00      1.18e-01    1.05e-01      1.30e-01    1.10e-01    1.0e-03
   5700      3.49e+00    3.18e+00      1.13e-01    8.44e-02      1.55e-01    1.41e-01    1.0e-03
   5800      2.66e+00    2.66e+00      7.96e-02    2.54e-02      1.18e-01    1.19e-01    1.0e-03
   5900      2.79e+00    2.37e+00      8.17e-02    1.06e-01      1.24e-01    1.04e-01    1.0e-03
   6000      2.42e+00    3.49e+00      8.30e-02    1.36e-01      1.07e-01    1.54e-01    1.0e-03
   6100      2.63e+00    2.92e+00      5.78e-02    6.30e-02      1.17e-01    1.30e-01    1.0e-03
   6200      2.50e+00    1.96e+00      6.52e-02    1.56e-01      1.11e-01    8.44e-02    1.0e-03
   6300      3.97e+00    3.24e+00      7.26e-02    4.07e-02      1.77e-01    1.45e-01    1.0e-03
   6400      2.97e+00    2.22e+00      7.74e-02    1.07e-01      1.32e-01    9.80e-02    1.0e-03
   6500      2.91e+00    2.34e+00      9.89e-02    2.17e-02      1.29e-01    1.05e-01    1.0e-03
   6600      3.15e+00    3.78e+00      9.49e-02    8.25e-02      1.40e-01    1.68e-01    1.0e-03
   6700      3.46e+00    2.44e+00      5.14e-02    1.08e-01      1.54e-01    1.08e-01    1.0e-03
   6800      2.62e+00    2.80e+00      4.52e-02    1.03e-01      1.17e-01    1.24e-01    1.0e-03
   6900      6.59e+00    4.82e+00      5.29e-02    6.49e-02      2.95e-01    2.15e-01    1.0e-03
   7000      3.40e+00    4.11e+00      2.40e-02    2.72e-01      1.52e-01    1.81e-01    1.0e-03
   7100      3.30e+00    2.59e+00      1.51e-01    9.36e-03      1.46e-01    1.16e-01    1.0e-03
   7200      2.84e+00    2.28e+00      1.34e-01    2.46e-02      1.25e-01    1.02e-01    1.0e-03
   7300      2.47e+00    3.39e+00      1.33e-01    1.14e-01      1.08e-01    1.51e-01    1.0e-03
   7400      3.27e+00    2.42e+00      8.57e-02    1.90e-01      1.46e-01    1.06e-01    1.0e-03
   7500      2.62e+00    4.01e+00      2.41e-02    9.42e-02      1.17e-01    1.79e-01    1.0e-03
   7600      2.70e+00    2.96e+00      9.70e-02    1.60e-01      1.20e-01    1.28e-01    1.0e-03
   7700      2.73e+00    3.45e+00      1.19e-01    1.21e-01      1.20e-01    1.54e-01    1.0e-03
   7800      2.43e+00    2.32e+00      4.74e-02    4.61e-02      1.08e-01    1.04e-01    1.0e-03
   7900      2.07e+00    2.58e+00      6.71e-02    2.02e-01      9.21e-02    1.13e-01    1.0e-03
   8000      3.38e+00    3.04e+00      6.59e-02    9.36e-02      1.50e-01    1.35e-01    1.0e-03
   8100      2.73e+00    2.08e+00      6.94e-02    4.20e-02      1.22e-01    9.28e-02    1.0e-03
   8200      2.19e+00    3.05e+00      7.37e-02    2.62e-01      9.72e-02    1.33e-01    1.0e-03
   8300      2.54e+00    3.71e+00      6.78e-02    1.59e-01      1.13e-01    1.63e-01    1.0e-03
   8400      2.69e+00    2.65e+00      1.27e-01    6.69e-02      1.19e-01    1.18e-01    1.0e-03
   8500      2.57e+00    2.22e+00      6.38e-02    7.60e-02      1.14e-01    9.84e-02    1.0e-03
   8600      2.49e+00    2.66e+00      8.20e-02    1.38e-02      1.11e-01    1.19e-01    1.0e-03
